Redness,Yellowness,Mass,Volume,Class
5,1,90,20,apple
2,5,130,10,lemon
2,5,120,15,lemon
4,3,150,32,apple
4,3,160,18,peach
4,3,110,22,peach
3,5,180,21,orange
5,3,170,17,peach
4,4,160,22,peach
5,2,100,32,apple
4,4,160,18,orange
4,3,130,26,peach
2,4,90,27,orange
3,4,110,26,orange
2,5,110,14,lemon
4,3,110,18,peach
3,5,160,21,orange
5,2,150,28,apple
2,5,130,11,lemon
2,5,120,20,lemon
2,5,130,16,lemon
4,4,150,27,orange
3,5,120,28,orange
5,2,140,35,apple
5,2,120,38,apple
2,5,120,16,lemon
3,4,200,25,orange
2,5,120,14,lemon
4,3,150,14,peach
5,2,190,31,apple
2,5,120,15,lemon
5,2,150,29,apple
4,4,160,24,orange
3,4,130,26,orange
2,5,140,13,lemon
2,5,120,18,lemon
5,2,190,15,apple
4,2,160,21,peach
4,4,170,19,orange
2,5,120,16,lemon
3,4,120,30,orange
2,5,130,15,lemon
3,4,150,17,orange
5,2,190,39,apple
3,4,150,22,orange
3,4,190,34,orange
2,5,120,16,lemon
5,3,140,18,peach
5,2,150,37,apple
4,3,110,15,peach
2,5,110,16,lemon
2,5,120,10,lemon
3,3,150,16,orange
5,2,140,31,apple
5,1,170,33,apple
3,4,130,18,orange
5,3,150,26,apple
5,2,120,23,apple
3,4,90,21,orange
2,5,130,20,orange
5,2,160,33,apple
5,2,210,31,apple
2,5,120,16,lemon
4,4,120,22,orange
3,4,130,26,orange
2,5,130,13,lemon
3,4,130,28,orange
2,4,190,33,orange
3,3,110,29,orange
2,5,110,16,lemon
5,2,170,31,apple
2,5,120,15,lemon
3,4,130,15,orange
4,4,30,27,orange
5,2,180,20,apple
2,5,110,10,lemon
3,5,180,27,orange
4,3,120,21,peach
5,2,110,30,apple
2,4,70,17,orange
4,3,130,21,peach
2,5,140,13,lemon
2,4,150,20,orange
4,3,150,17,peach
2,4,130,29,orange
2,5,120,17,lemon
5,3,180,31,apple
2,5,130,14,lemon
2,5,120,14,lemon
2,5,120,18,lemon
2,5,120,13,lemon
4,3,130,19,peach
2,5,130,15,lemon
3,3,150,17,peach
2,5,120,17,lemon
5,3,120,18,peach
4,3,140,25,peach
4,3,130,24,peach
2,5,120,10,lemon
2,5,130,14,lemon
4,2,210,34,apple
4,3,100,25,peach
5,3,150,17,peach
3,4,80,36,orange
2,5,120,19,lemon
4,3,120,26,peach
2,5,130,12,lemon
3,3,170,26,peach
6,2,140,36,apple
6,2,210,32,apple
3,3,110,16,peach
5,2,200,30,apple
4,3,180,17,peach
4,4,190,23,orange
5,2,140,27,apple
2,5,120,18,lemon
2,5,110,19,lemon
2,5,120,19,lemon
2,5,110,17,lemon
2,5,110,11,lemon
2,5,120,15,lemon
3,3,150,16,peach
2,4,90,25,orange
4,3,100,21,peach
5,2,130,20,apple
5,3,110,23,peach
3,5,120,12,lemon
5,2,150,37,apple
4,3,160,21,peach
5,2,180,28,apple
4,3,150,21,peach
3,4,160,27,orange
2,4,180,32,orange
3,4,140,22,orange
3,4,160,36,orange
3,3,90,10,peach
3,4,140,23,orange
3,3,100,23,orange
2,5,120,7,lemon
5,2,130,35,apple
4,3,150,18,peach
3,3,150,29,orange
3,4,110,25,orange
2,5,130,16,lemon
6,2,130,29,apple
4,3,170,20,peach
5,2,180,34,apple
2,5,110,16,lemon
3,3,140,16,peach
5,2,170,27,apple
4,3,130,18,peach
4,3,80,22,peach
4,3,150,22,peach
5,2,170,34,apple
5,2,120,27,apple
4,3,190,20,orange
2,5,110,16,lemon
2,5,120,10,lemon
2,4,120,22,orange
2,5,130,16,lemon
5,2,160,38,apple
2,4,150,20,orange
2,5,110,15,lemon
2,5,120,20,lemon
5,3,110,28,peach
5,2,160,21,apple
3,3,60,21,orange
5,2,140,28,apple
4,2,120,32,apple
4,3,150,19,peach
3,5,170,27,orange
3,5,140,21,orange
2,5,120,16,lemon
3,5,110,24,orange
5,1,110,25,apple
5,2,130,33,apple
4,2,130,31,apple
3,3,140,14,orange
5,3,150,16,peach
5,2,180,38,apple
5,2,130,32,apple
2,5,130,15,lemon
5,2,130,23,apple
5,3,160,15,peach
2,5,130,16,lemon
3,5,30,22,orange
2,5,130,21,lemon
4,3,140,22,orange
5,3,100,17,apple
4,3,130,19,peach
2,5,120,13,lemon
5,4,130,34,orange
4,4,150,34,orange
3,4,160,21,orange
4,3,130,14,peach
2,5,130,12,lemon
2,5,120,15,lemon
3,4,200,24,orange
3,4,160,14,orange
3,3,160,18,orange
2,5,130,17,lemon
5,1,120,35,apple
5,2,140,25,apple
3,4,150,22,orange
5,2,110,35,apple
4,3,160,14,peach
3,3,140,16,peach
2,5,120,16,lemon
4,3,130,22,peach
2,5,130,12,lemon
5,3,160,18,peach
4,4,120,21,orange
5,2,170,34,apple
4,4,100,31,orange
2,4,130,19,orange
5,2,160,35,apple
4,3,160,19,peach
4,3,130,12,peach
3,4,80,22,orange
2,5,110,13,lemon
3,5,110,21,orange
4,3,110,20,peach
4,4,80,23,orange
5,2,130,33,apple
2,5,140,14,lemon
2,5,140,14,lemon
2,5,110,11,lemon
2,5,120,17,lemon
2,5,120,10,lemon
6,2,170,36,apple
3,4,160,23,orange
2,3,100,28,orange
2,5,120,14,lemon
5,3,140,33,apple
2,5,120,13,lemon
5,2,90,26,apple
4,3,80,21,peach
5,2,140,21,apple
3,4,90,31,orange
5,2,150,34,apple
2,5,90,21,orange
2,4,160,29,orange
4,3,150,16,peach
3,4,160,29,orange
5,3,130,17,peach
4,3,140,21,peach
5,2,150,39,apple
4,2,150,27,peach
2,5,110,14,lemon
2,5,130,14,lemon
4,4,40,26,orange
5,2,100,31,apple
4,3,160,19,peach
4,2,140,22,peach
3,3,110,25,orange
4,3,150,23,peach
3,3,180,22,orange
2,5,130,17,lemon
3,4,190,26,orange
2,5,120,14,lemon
5,1,140,30,apple
4,3,130,22,peach
3,4,160,26,orange
2,5,150,13,lemon
5,2,140,33,apple
4,2,180,23,peach
5,2,100,27,apple
4,3,160,21,peach
4,4,130,19,peach
4,2,190,15,apple
4,3,160,18,peach
2,5,140,14,lemon
4,3,100,21,peach
3,4,200,20,orange
2,5,110,12,lemon
4,3,180,20,peach
2,5,120,20,lemon
4,3,130,21,peach
5,2,150,30,apple
3,5,170,20,orange
5,2,160,39,apple
4,4,170,21,orange
4,4,120,25,orange
4,3,160,18,peach
3,4,160,21,orange
4,3,140,28,peach
5,2,140,33,apple
4,4,130,18,orange
6,2,160,20,apple
3,4,140,30,orange
5,2,160,25,apple
2,5,130,18,lemon
5,2,160,32,apple
4,3,90,30,orange
5,2,200,26,apple
5,3,80,20,peach
2,5,120,15,lemon
2,5,130,17,lemon
4,3,160,23,peach
2,5,120,16,lemon
3,4,160,23,orange
4,3,120,16,peach
4,3,100,23,peach
5,2,100,38,apple
3,4,140,27,orange
4,2,160,21,peach
5,2,120,26,apple
3,4,180,24,orange
4,3,140,13,peach
5,1,170,35,apple
5,2,170,35,apple
4,3,110,20,peach
4,3,140,22,orange
2,5,120,12,lemon
5,2,170,27,apple
2,5,100,19,lemon
2,5,130,14,lemon
5,2,110,29,apple
2,5,120,19,lemon
2,5,110,18,lemon
2,5,140,16,lemon
3,5,150,25,orange
3,5,160,25,orange
4,3,160,16,peach
2,5,130,16,lemon
2,5,130,18,lemon
3,4,80,27,orange
5,2,130,31,apple
4,3,170,23,peach
5,2,160,22,apple
5,2,160,33,apple
2,5,120,15,lemon
2,5,120,17,lemon
4,3,120,26,peach
4,3,130,28,peach
5,2,160,29,apple
5,2,80,16,apple
2,5,120,12,lemon
3,3,170,21,peach
2,5,90,11,lemon
2,5,110,18,lemon
4,4,150,25,orange
2,5,110,17,lemon
5,3,150,16,peach
2,5,110,8,lemon
3,4,170,24,orange
2,5,120,13,lemon
4,3,160,23,peach
5,2,150,29,apple
5,2,180,29,apple
6,2,120,27,apple
3,5,210,26,orange
5,2,170,38,apple
4,3,100,20,peach
5,2,130,20,apple
2,5,140,17,lemon
6,1,140,31,apple
3,5,150,19,orange
2,5,110,13,lemon
4,3,120,19,peach
3,4,190,19,orange
2,4,190,37,orange
5,2,150,14,apple
5,2,140,36,apple
2,5,130,16,lemon
6,2,120,34,apple
4,3,130,21,peach
6,2,140,27,apple
5,2,170,28,apple
5,2,150,49,apple
2,5,120,11,lemon
4,4,130,27,peach
5,3,90,12,peach
3,2,110,24,peach
5,2,130,37,apple
2,5,120,17,lemon
3,3,120,32,orange
3,4,120,25,orange
5,2,180,20,apple
5,2,130,29,apple
2,4,190,28,orange
2,4,110,40,orange
2,5,120,14,lemon
3,5,130,25,orange
5,2,160,29,apple
3,4,170,25,orange
3,4,200,23,orange
5,3,160,19,peach
2,5,110,15,lemon
2,5,110,18,lemon
5,2,190,29,apple
4,2,120,13,peach
4,2,160,38,apple
2,5,140,13,lemon
4,2,150,21,apple
2,5,120,16,lemon
4,3,120,23,peach
2,5,110,17,lemon
4,5,120,24,orange
2,5,110,14,lemon
4,4,100,19,peach
5,2,150,25,apple
3,3,90,22,orange
5,2,170,29,apple
2,5,130,16,lemon
4,2,150,29,apple
4,4,120,23,orange
2,5,130,17,lemon
2,5,120,18,lemon
5,2,110,18,apple
5,2,140,18,apple
3,4,180,24,orange
5,3,140,12,peach
5,2,130,31,apple
2,5,110,15,lemon
2,5,120,14,lemon
4,3,130,16,peach
5,2,200,34,apple
2,5,120,14,lemon
4,3,110,19,peach
5,3,110,16,peach
4,3,150,14,peach
3,4,150,30,orange
2,5,110,17,lemon
3,5,130,19,orange
2,5,130,11,lemon
3,3,180,22,orange
4,3,150,15,peach
4,3,110,29,peach
2,5,110,11,lemon
5,2,140,28,apple
3,4,80,24,orange
4,4,190,23,orange
2,5,120,14,lemon
5,2,180,38,apple
3,3,140,27,orange
4,3,160,21,peach
2,5,130,16,lemon
2,5,110,33,orange
4,3,100,21,peach
5,2,130,27,apple
2,5,120,6,lemon
2,5,130,13,lemon
4,3,100,29,peach
4,2,180,29,apple
2,5,140,12,lemon
3,4,150,25,orange
6,2,150,14,apple
2,5,100,15,lemon
4,3,190,19,peach
3,4,190,29,orange
5,2,190,29,apple
6,2,180,32,apple
2,5,110,11,lemon
4,2,160,36,apple
4,4,120,21,peach
2,5,110,17,lemon
4,3,210,20,peach
5,1,150,35,apple
3,4,200,18,orange
3,4,130,33,orange
4,3,130,16,peach
3,4,170,32,orange
5,2,210,33,apple
2,5,130,20,lemon
2,5,130,16,lemon
5,2,80,37,apple
3,3,130,25,orange
2,5,120,12,lemon
6,2,170,33,apple
2,5,110,13,lemon
5,2,180,31,apple
2,5,110,13,lemon
2,5,110,9,lemon
5,2,120,36,apple
5,2,140,25,apple
2,4,140,24,orange
2,5,140,19,lemon
3,3,140,28,orange
3,5,130,30,orange
4,3,80,28,peach
2,4,150,27,orange
4,3,170,24,peach
2,5,120,17,lemon
2,5,110,20,lemon
5,2,130,27,apple
5,2,110,28,apple
5,2,150,39,apple
4,3,130,26,peach
4,2,170,37,apple
5,2,90,36,apple
5,2,60,41,apple
2,5,120,15,lemon
4,3,110,19,peach
4,2,180,36,apple
4,3,160,11,peach
2,5,130,22,lemon
2,5,130,18,lemon
2,5,120,11,lemon
4,3,80,16,peach
3,4,240,28,orange
2,5,120,18,lemon
3,4,200,26,orange
5,3,130,17,peach
2,5,130,18,lemon
5,2,150,34,apple
3,3,100,16,peach
2,5,100,11,lemon
2,5,140,19,lemon
2,5,110,11,lemon
5,2,150,37,apple
5,2,180,25,apple
5,2,170,34,apple
4,3,130,22,peach
2,5,110,12,lemon
4,3,130,18,peach
2,5,110,15,lemon
